	RNA-POC-47-S1-TP2_output	RNA-POC-48-S1-TP2_output	RNA-POC-50-S1-TP2_output	RNA-POC-53-S1-TP2_output	RNA-POC-57-S1-TP2_output
Pocillopora_meandrina_HIv1___Sc0000046	6597.32	5467.55	8528.32	7253.83	5133.04
Pocillopora_meandrina_HIv1___xfSc0000445	8.0222	15.08	14.1626	7.10698	6.04209
Pocillopora_meandrina_HIv1___Sc0000012	745548	595483	842392	725151	511359
Pocillopora_meandrina_HIv1___xfSc0001179	60.2618	42.6926	49.7344	25.5816	85.3688
Pocillopora_meandrina_HIv1___xfSc0000428	4.01136	42.1267	123.489	87.1703	7.0191
Pocillopora_meandrina_HIv1___Sc0000054	6097	3314.7	8311.37	6089.77	5313
Pocillopora_meandrina_HIv1___xpSc0001273	936.293	469.725	1490.98	564.628	682.426
Pocillopora_meandrina_HIv1___Sc0000011	1.205e+06	1.21987e+06	1.41847e+06	1.50888e+06	992325
Pocillopora_meandrina_HIv1___Sc0000049	352.503	83.9869	612.721	468.839	111.424
Pocillopora_meandrina_HIv1___xfSc0000288	44.2647	19.2282	123.069	55.5234	255.034
Pocillopora_meandrina_HIv1___xfSc0000000	1941.74	6481.29	5681.93	5980.64	3724.47
Pocillopora_meandrina_HIv1___Sc0000013	376515	286375	413614	377651	284423
Pocillopora_meandrina_HIv1___Sc0000016	477012	447745	583585	568721	383879
Pocillopora_meandrina_HIv1___xfSc0000974	2.00357	23.2271	26.1816	40.2738	3.016
Pocillopora_meandrina_HIv1___xfSc0000788	52.2557	195.275	84.0135	82.4231	211.419
Pocillopora_meandrina_HIv1___xfSc0000002	6192.17	19466.6	15759.2	6929.73	7893.94
Pocillopora_meandrina_HIv1___Sc0000001	2.18247e+06	1.88777e+06	2.5564e+06	2.61292e+06	1.6611e+06
Pocillopora_meandrina_HIv1___xfSc0000859	0	0	0	0	0
Pocillopora_meandrina_HIv1___xfSc0000760	0	0	0	0	0
Pocillopora_meandrina_HIv1___xfSc0000566	14.0817	6.11135	33.2857	6.08103	8.01345
Pocillopora_meandrina_HIv1___xfSc0000415	41.295	108.291	83.9315	41.1568	50.9559
Pocillopora_meandrina_HIv1___xfSc0000094	5.71132	5.88681	26.4133	1.58464	6.00634
Pocillopora_meandrina_HIv1___xfSc0001237	23.9871	6.84269	185.198	174.592	249.635
Pocillopora_meandrina_HIv1___xfSc0000567	20.9242	13.3628	21.5182	28.3813	25.1143
Pocillopora_meandrina_HIv1___xfSc0000024	562.854	274.817	919.777	677.125	364.07
Pocillopora_meandrina_HIv1___xfSc0000447	83.6831	26.6739	93.7434	183.814	472.455
Pocillopora_meandrina_HIv1___xfSc0000885	10.1219	141.737	69.648	129.981	103.552
Pocillopora_meandrina_HIv1___Sc0000082	5.01222	27.9197	93.0766	37.3595	0
Pocillopora_meandrina_HIv1___xfSc0000081	633.385	580.066	275.328	1036.85	206.026
Pocillopora_meandrina_HIv1___Sc0000040	67039.5	83973.5	89047.4	88788.3	58915.6
Pocillopora_meandrina_HIv1___xfSc0000952	10	38	53	54	0
Pocillopora_meandrina_HIv1___Sc0000020	293105	245002	337396	326273	232191
Pocillopora_meandrina_HIv1___xfSc0000555	52.23	76.9091	91.8349	132.995	52.9148
