	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_449	10659.3	5645.8	6145.26	5708.09	15602.1
Porites_evermani_scaffold_291	2054.06	1667.38	3591.13	1058.57	2710.11
Porites_evermani_scaffold_3496	58.5873	112.148	56.5249	3.14297	6.39521
Porites_evermani_scaffold_5770	85	20	41	31	65
Porites_evermani_scaffold_3933	35.6413	12	50	12.0018	15.0652
Porites_evermani_scaffold_3134	48.1514	115.495	59.4881	37.0337	31.3443
Porites_evermani_scaffold_1160	400.766	502.852	1467.46	213.262	389.601
Porites_evermani_scaffold_570	180.017	56.0798	289.212	78.5266	262.875
Porites_evermani_scaffold_2163	9676.47	4653.65	4171.97	3582.36	3596.35
Porites_evermani_scaffold_7665	0	6	16	31.6407	61
Porites_evermani_scaffold_7528	38.6792	10.7726	12.5507	2.54747	1.94742
Porites_evermani_scaffold_8056	33.4495	4.25702	48.8726	30.685	28.3082
Porites_evermani_scaffold_324	15069.5	10330.1	15280.4	8991.47	22322.2
Porites_evermani_scaffold_2025	164.249	35.0476	55.918	71.8845	63.1494
Porites_evermani_scaffold_407	256.167	230.61	506.565	235.883	242.544
Porites_evermani_scaffold_859	1495.64	1049.09	4263.97	1606.05	2090.02
Porites_evermani_scaffold_1442	3318.45	1534.8	6098.46	2249.24	3851.27
Porites_evermani_scaffold_3596	3.05218	70.136	144.877	71.1272	120.93
Porites_evermani_scaffold_669	1085.12	650.319	1600.23	1111.58	1500.32
Porites_evermani_scaffold_1909	6241.34	3772.8	12841	4732.25	10825.3
Porites_evermani_scaffold_2568	785.127	147.965	1324.21	1759.37	2186.73
Porites_evermani_scaffold_1192	4157.75	960.221	3310.92	1766.63	985.83
Porites_evermani_scaffold_7767	15	0	24	0	14
Porites_evermani_scaffold_460	17717.4	62791.3	19201.8	27067.2	38942.4
Porites_evermani_scaffold_6773	11.4031	10	64.9883	4.11463	14
Porites_evermani_scaffold_1988	1141.66	285.602	1690.83	638.013	1167.81
Porites_evermani_scaffold_5629	79	33	83	5	52
Porites_evermani_scaffold_5404	483.01	354	708.045	377	744.368
Porites_evermani_scaffold_1474	2256.46	768.645	2193.58	768.109	3042.1
Porites_evermani_scaffold_606	2439.85	1805.58	4360.82	1380.72	2528.93
Porites_evermani_scaffold_2545	222.62	40.0796	479.993	148.998	143.878
Porites_evermani_scaffold_787	644.204	174.152	1045.32	387.645	618.376
Porites_evermani_scaffold_1815	1585.21	397.265	1963.3	2939.88	1452.38
Porites_evermani_scaffold_3145	3794.9	1595.31	4284.52	1429.77	5330.39
Porites_evermani_scaffold_2103	8244.98	546.686	6369.77	1530.73	1371.7
Porites_evermani_scaffold_731	2104.84	721.066	2358.91	946.968	2642.92
Porites_evermani_scaffold_100	9156.61	3600.47	12611.5	5591.4	12825.1
Porites_evermani_scaffold_2738	1087.4	451.505	1028.4	607.242	1607.82
Porites_evermani_scaffold_7631	5	16.4631	30	2	9
Porites_evermani_scaffold_576	1878.12	896.768	840.926	325.546	3646.5
Porites_evermani_scaffold_214	8285.9	5329.16	9574.22	3990.19	9473.81
Porites_evermani_scaffold_3893	319.855	138.799	487.742	79.2879	372.833
Porites_evermani_scaffold_186	33006	7544.32	33570.4	19410.6	27621.9
Porites_evermani_scaffold_59	4254.51	2149.56	7938.76	2731.51	4869.74
Porites_evermani_scaffold_5969	120.227	50.8425	1243.33	285.885	120.753
Porites_evermani_scaffold_3679	1.92465	41.9974	68.5246	57.0496	90.7487
Porites_evermani_scaffold_221	6119.55	345.996	702.554	393.219	1213.15
Porites_evermani_scaffold_433	5430.68	5009.34	6501.18	2867.69	6418.11
Porites_evermani_scaffold_1951	308.236	105.46	280.584	138.03	525.437
Porites_evermani_scaffold_2296	97.2682	34.2975	76.5815	17.6343	149.399
Porites_evermani_scaffold_2013	819.11	452.004	1680	468.147	1290.07
Porites_evermani_scaffold_2356	5334.22	2623.57	10440.6	4073.47	6766.03
Porites_evermani_scaffold_4016	505.111	89.0688	324.05	502.146	565.21
Porites_evermani_scaffold_4876	43.5986	10.6322	146.281	40.5339	35.4004
Porites_evermani_scaffold_2546	337.074	43.9546	221.801	129.217	77.9193
Porites_evermani_scaffold_3995	2.00013	70.1382	110.053	4.00412	31
Porites_evermani_scaffold_5351	7.6332	23.4833	8.08644	6.21128	142.893
Porites_evermani_scaffold_5671	7.71258	41.1894	1.02833	7.64796	3.31906
Porites_evermani_scaffold_3257	374.13	225.077	521.496	163.257	510.87
Porites_evermani_scaffold_5430	1.34427	7.86356	306.002	0	51.8163
Porites_evermani_scaffold_279	2181.81	572.75	442.205	1209.49	1661.8
Porites_evermani_scaffold_2966	15.4102	3.00947	33.5074	7.00824	10.0023
Porites_evermani_scaffold_132	4822.44	2002.46	7568.3	3606.99	5832.15
Porites_evermani_scaffold_3086	474.067	256.184	342.769	31.0163	150.27
Porites_evermani_scaffold_2234	161.265	31.0812	346.093	230.218	89.1779
Porites_evermani_scaffold_2024	221.416	54.9418	171.114	100.891	121.776
Porites_evermani_scaffold_1273	189.001	164	380.474	147.016	284
Porites_evermani_scaffold_4819	14034.1	8802	2203.19	7808.18	14597.7
Porites_evermani_scaffold_2087	443.236	171.239	711.851	317.473	742.34
Porites_evermani_scaffold_2801	2035.41	452.805	1133.37	1309.14	1522.27
Porites_evermani_scaffold_1108	17498.4	6360.73	11453.1	8110.37	24417.6
Porites_evermani_scaffold_6484	69.7531	15.2843	14.9382	27.281	40.9226
Porites_evermani_scaffold_6867	13.6165	10.6108	24	5.26853	4.47767
Porites_evermani_scaffold_2947	98.6098	93.437	196.704	2.17493	58.3508
Porites_evermani_scaffold_7067	3	2	2	0	5.30231
Porites_evermani_scaffold_385	1471.29	1081.81	1506	874.793	2687.72
Porites_evermani_scaffold_3812	1309.15	524	3090	1184.83	1909.93
Porites_evermani_scaffold_2449	1921.63	839.793	1416.9	1239.77	1916.8
Porites_evermani_scaffold_1367	1692.13	514.585	3191.87	672.676	1613.3
Porites_evermani_scaffold_4507	78.7677	9.28209	71.6475	6.0091	71.2707
Porites_evermani_scaffold_1230	1201.04	374.642	2210.61	625	893.97
Porites_evermani_scaffold_7758	28	0	0	0	8.00099
Porites_evermani_scaffold_1858	327.135	189.971	478.974	206.002	407.378
Porites_evermani_scaffold_2352	55.5925	51.6029	50.2721	49.3056	121.474
Porites_evermani_scaffold_1462	60.6556	19.8886	415.564	17.3297	107.363
Porites_evermani_scaffold_1419	1091.7	560.089	2560.9	821.107	1966.84
Porites_evermani_scaffold_957	2813.79	2017.32	1704.76	1511.7	2868.96
Porites_evermani_scaffold_1789	984.127	347.177	471.679	826.714	1618.54
Porites_evermani_scaffold_4004	25.2695	7.05897	44.0375	15.035	1.00164
Porites_evermani_scaffold_306	3709	1479.36	4752.65	2693.44	6142.22
Porites_evermani_scaffold_2415	433.08	478.226	255.773	320.765	606.015
Porites_evermani_scaffold_3350	123.1	129.024	306.75	448	277.654
Porites_evermani_scaffold_1085	2350.2	1161.91	5424.72	2059.02	2780.28
Porites_evermani_scaffold_3455	40.0558	11.0082	141.754	133.652	109.917
Porites_evermani_scaffold_7363	170.456	132.544	419.92	152.944	278.514
Porites_evermani_scaffold_5156	2	0	19.0227	5.09397	4.01972
Porites_evermani_scaffold_4308	118.143	136	226.653	24.0099	11.0057
Porites_evermani_scaffold_4120	1182.16	339.974	841.022	278.307	1917.84
Porites_evermani_scaffold_1106	490.042	134.336	634.557	193.735	840.769
Porites_evermani_scaffold_961	2251.37	882.152	3570.11	2680.05	4843.55
Porites_evermani_scaffold_2834	1930.33	1818.41	1289.86	768.934	2509.57
Porites_evermani_scaffold_197	8498.73	6414.06	13110.6	4323.94	12994.5
Porites_evermani_scaffold_5402	27.7105	18.8734	37.9344	9.4484	3.89837
Porites_evermani_scaffold_5933	19.4343	0	0	9.73927	7.25235
Porites_evermani_scaffold_6909	0	0	0	0	30
Porites_evermani_scaffold_1253	11058.9	875.686	633.422	979.217	8480.85
Porites_evermani_scaffold_1354	4316.98	1878.94	2322.24	1211.16	4554.34
Porites_evermani_scaffold_4899	725.742	699.093	2.00295	453.657	4.00371
Porites_evermani_scaffold_4126	15.2653	30.4181	45.2986	66.6606	252.051
Porites_evermani_scaffold_396	601.031	155.304	469.308	171.327	2252.13
Porites_evermani_scaffold_4500	282.628	226.804	266.385	129.109	363.505
Porites_evermani_scaffold_7141	0	8.3082	56.4032	1.0399	4.47043
Porites_evermani_scaffold_3092	475.811	275.239	1034.1	346.852	872.985
Porites_evermani_scaffold_1025	1691.64	1023.62	408.729	2413.2	6547.04
Porites_evermani_scaffold_64	253770	23609.2	44611.5	53437.9	273393
Porites_evermani_scaffold_7005	6.10607	0	48.8053	0	4.15685
Porites_evermani_scaffold_5289	193	46	104	65	34
Porites_evermani_scaffold_3824	708.165	246.436	1200.91	311.826	763.378
Porites_evermani_scaffold_3757	20.4621	5.5984	106.657	89.9304	17.3318
Porites_evermani_scaffold_4196	60.4535	33.5724	65.1347	40.5744	81.1551
Porites_evermani_scaffold_1241	28530.3	13247.9	4315.88	10742.6	29830.9
Porites_evermani_scaffold_1773	6.0737	47.3829	78.8408	27.3538	159.343
Porites_evermani_scaffold_3387	182.571	167.136	781.704	203.621	317.847
Porites_evermani_scaffold_1949	223.375	19.2516	946.894	56.4079	548.952
Porites_evermani_scaffold_3885	36.1486	3.07643	0	218.665	544.283
Porites_evermani_scaffold_4454	195.417	117.323	791.514	283.069	387.477
Porites_evermani_scaffold_2909	1484.63	226.135	1395.5	758.117	2245.15
Porites_evermani_scaffold_4818	535.146	177	538	275.865	480.12
Porites_evermani_scaffold_1007	3272.35	1046.23	3953.07	1588.02	4360.14
Porites_evermani_scaffold_5803	405.831	116.264	27.149	61.6611	404.529
Porites_evermani_scaffold_4803	204.581	32	499.515	306	315.578
Porites_evermani_scaffold_3122	110.919	104.394	385.774	90.3436	64.3491
Porites_evermani_scaffold_2730	89.4841	23.0154	389.474	7.05966	22.1882
Porites_evermani_scaffold_2453	682.157	354.175	409.413	445.039	868.808
Porites_evermani_scaffold_1580	33582.6	25848.3	73463.6	19259.1	27899.2
Porites_evermani_scaffold_2351	1126.52	193.579	435.126	130.994	850.968
Porites_evermani_scaffold_1072	649.852	243.151	452.21	114.397	558.377
Porites_evermani_scaffold_3607	36.0042	18.0573	69.015	27.3477	77.0569
Porites_evermani_scaffold_4797	6.03106	8.06481	17.3837	20.1404	6.55632
Porites_evermani_scaffold_1287	526.434	349.334	765.602	490.724	940.84
Porites_evermani_scaffold_7399	50	3	100	0	169
