	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_6264	3	1	38	22.2048	40
Porites_evermani_scaffold_124	13145.6	5254.59	18130.9	8728.85	12368.5
Porites_evermani_scaffold_867	26070.4	4855.44	34153.7	21416.5	31110
Porites_evermani_scaffold_1272	1486.15	420.158	1748.01	809.897	1542.1
Porites_evermani_scaffold_1076	25.3341	20.2152	24.4858	11.1851	17.1902
Porites_evermani_scaffold_418	16663.9	8301.42	21789	12007.7	22628.4
Porites_evermani_scaffold_6334	11.2558	3.00573	5	4.04085	1820.64
Porites_evermani_scaffold_4129	87.1072	18.0291	66.0019	40.027	108.018
Porites_evermani_scaffold_2001	9298.57	1199.37	584.316	4989.48	19333.7
Porites_evermani_scaffold_1732	2770.94	1551.44	2358.14	1256	4071.68
Porites_evermani_scaffold_4024	235.203	117	872.52	251.316	271.006
Porites_evermani_scaffold_2137	2166.05	519.795	601.079	839.121	2984.41
Porites_evermani_scaffold_1787	485.567	240.296	608.773	354.047	576.19
Porites_evermani_scaffold_3693	423.786	444.786	279.909	248.955	468.201
Porites_evermani_scaffold_6872	37.226	2.05249	0	9.33187	34.2722
Porites_evermani_scaffold_1342	1059.18	644.953	1455.86	630.59	1503.32
Porites_evermani_scaffold_840	401.901	198.922	171.064	220.752	819.87
Porites_evermani_scaffold_3541	21.2765	62.5358	203.341	16.4258	8.94067
Porites_evermani_scaffold_6689	736.691	157.193	917.95	1100.45	3176.15
Porites_evermani_scaffold_4198	92.5956	8.07763	195.344	20.9702	18.403
Porites_evermani_scaffold_6977	21.2365	12	31.086	12.3426	11.0258
Porites_evermani_scaffold_584	1225.08	193.611	3714.76	520.429	1375.31
Porites_evermani_scaffold_3284	126.429	50.492	186.294	41.3668	85.9744
Porites_evermani_scaffold_7105	13	17	68	13	39
Porites_evermani_scaffold_3260	672.526	123.858	431.485	393.413	262.972
Porites_evermani_scaffold_3886	125.851	61.0283	214.147	15.4847	174.046
Porites_evermani_scaffold_6868	78.0173	16	251.01	44.0088	189.056
Porites_evermani_scaffold_1139	585.456	410.774	1588.48	270.65	725.306
Porites_evermani_scaffold_4609	20.2533	6.00127	6.04165	11.0027	39.0235
Porites_evermani_scaffold_3651	0	2	0	5	0
Porites_evermani_scaffold_1138	232.103	178.518	515.976	121.369	363.869
Porites_evermani_scaffold_1131	1532.39	1521.01	983.751	517.946	3395.46
Porites_evermani_scaffold_2410	135.752	178.736	457.285	210.079	433.578
Porites_evermani_scaffold_168	22424.1	7064.74	16653.4	9389.13	31395.3
Porites_evermani_scaffold_70	6340.73	3092.17	8800.58	3876.87	9965.74
Porites_evermani_scaffold_473	546.032	272.756	1032.23	426.924	663.202
Porites_evermani_scaffold_5693	31.3263	86	17	29.3039	28.7078
Porites_evermani_scaffold_1793	221.28	60.1321	260.593	324.285	223.824
Porites_evermani_scaffold_138	2280.71	2134.99	2150	1315.38	3053.88
Porites_evermani_scaffold_154	18921.4	5544.59	21846.4	8589.92	20690.6
Porites_evermani_scaffold_1381	10261.8	2124.92	2930.06	3223.94	14728.8
Porites_evermani_scaffold_282	2517.11	2263.27	2340.17	1237.2	3757.19
Porites_evermani_scaffold_81	2125.75	1313.15	3705.62	1376.16	3414.5
Porites_evermani_scaffold_20	37370.3	9791.61	30949.6	14177.8	33390
Porites_evermani_scaffold_318	1800.25	1091.14	2447.88	755.082	2033.8
Porites_evermani_scaffold_3464	1409.59	332.48	1062.42	429.416	1221.67
Porites_evermani_scaffold_1898	203.823	560.453	1282.69	763.199	1207.34
Porites_evermani_scaffold_5205	22.0279	17.0187	41.0067	38.02	31.0086
Porites_evermani_scaffold_1572	444.562	324.052	1168.1	184.18	532.208
Porites_evermani_scaffold_164	2234.65	1289.79	3498.68	1422.51	3235.18
Porites_evermani_scaffold_3998	15.6848	59.9665	161.417	42.0444	291.173
Porites_evermani_scaffold_1799	2845.76	1343.1	3749.69	2246.49	3320.95
Porites_evermani_scaffold_1271	3044.97	1391.75	3249.91	1664.29	3746.96
Porites_evermani_scaffold_5920	1811.8	102.313	9.48909	2064.78	2948.96
Porites_evermani_scaffold_1332	376.547	82.0091	541.042	115.215	275.996
Porites_evermani_scaffold_894	31.7514	60.2564	38.0767	117.206	213.653
Porites_evermani_scaffold_989	3399.8	8775.51	8152.51	1455.78	4280.47
Porites_evermani_scaffold_2348	1210.27	392.002	612.275	537.517	1153.27
Porites_evermani_scaffold_4643	243.297	1.00375	124.062	42.0746	225.412
Porites_evermani_scaffold_2927	1576.65	736.328	1623.36	850.396	1854.48
Porites_evermani_scaffold_1767	213.822	74.5681	400.338	81.5392	157.519
Porites_evermani_scaffold_2411	5796.09	1981.09	4388.04	2384.71	7252.41
Porites_evermani_scaffold_2893	1446.57	112.897	1410.09	503.056	1950.89
Porites_evermani_scaffold_1651	1313.43	542.822	1676.39	574.643	1199.81
Porites_evermani_scaffold_624	4656.38	1126.87	4428.69	1544.93	7563.96
Porites_evermani_scaffold_2078	158.018	31.2816	142.806	58.1237	143.755
Porites_evermani_scaffold_48	9558.24	21551.8	22298.9	26742.6	130389
Porites_evermani_scaffold_6386	16.0516	11	450.944	23	22.4754
Porites_evermani_scaffold_1760	5247.24	2113.63	4201.72	2414.34	5237.48
Porites_evermani_scaffold_2686	65.9547	47.1619	385.606	46.7114	239.749
Porites_evermani_scaffold_1848	16.4168	8.52859	26.1992	4.05012	7.16724
Porites_evermani_scaffold_101	21740.6	8381.49	17132.9	8319.11	24276.6
Porites_evermani_scaffold_267	3159.8	1965.71	4664.45	2124.52	4763.57
Porites_evermani_scaffold_705	1966.44	2272.57	3041.7	2037.07	2670.24
Porites_evermani_scaffold_7106	18.0252	0	14	2	8.0087
Porites_evermani_scaffold_208	13006.9	8155.83	12972	7930.79	19804.9
Porites_evermani_scaffold_3966	397.351	324.584	735.606	139.246	2167.99
Porites_evermani_scaffold_1034	80.4041	39.0536	457.149	46.4445	168.195
Porites_evermani_scaffold_6235	82	48.1731	229	47	45
Porites_evermani_scaffold_6938	14	0	0	22.7689	1
Porites_evermani_scaffold_3772	97.713	145.965	88.7181	41.1468	139.543
Porites_evermani_scaffold_5622	106.296	1.33504	64	19.4629	53.3998
Porites_evermani_scaffold_2121	39.7072	77.3946	156.389	47.4036	108.403
Porites_evermani_scaffold_157	1738.87	766.867	1750.38	828.691	2963.48
Porites_evermani_scaffold_54	5691.56	6136.7	8588.15	3102.94	8060.26
Porites_evermani_scaffold_198	6045.01	1361.92	4492.02	2176.7	6321.65
Porites_evermani_scaffold_3397	436.553	70.9193	89.4447	13.0071	911.958
Porites_evermani_scaffold_1298	1750.73	1126.48	2706.29	849.773	2526.93
Porites_evermani_scaffold_257	12280	3143.86	17323.1	14718	20818.4
Porites_evermani_scaffold_3059	51.9375	18.1022	0	73.5539	29.0213
Porites_evermani_scaffold_5586	3017.1	13.0138	26.2741	2624.33	5725.91
Porites_evermani_scaffold_1261	1597.26	429.021	1696.67	717.977	1907.64
Porites_evermani_scaffold_4985	196.24	69.9224	230.375	87.4714	140.672
Porites_evermani_scaffold_1596	34.0876	2.25081	8.8828	15.908	13.4868
Porites_evermani_scaffold_4857	3	2	33	10	21
Porites_evermani_scaffold_3883	69.262	11	106	37	78.3723
Porites_evermani_scaffold_423	45212.2	5579.04	10292.2	9267.33	42901.4
Porites_evermani_scaffold_7071	0	0	58.2723	0	3.01169
Porites_evermani_scaffold_2951	5082.61	1201.99	1317.81	1567.9	6156.01
Porites_evermani_scaffold_1219	40.0566	84.861	379.565	100.547	201.924
Porites_evermani_scaffold_180	2127.74	804.883	4193.19	2005.84	2013.23
Porites_evermani_scaffold_2308	400.198	193.018	574.007	198.161	534.695
Porites_evermani_scaffold_185	5626.62	2965.07	5951.62	2903.12	6024.06
Porites_evermani_scaffold_302	9667.03	13060	9663.93	4768.72	15641.9
Porites_evermani_scaffold_1372	88.3536	96.2155	24.7705	35.6889	195.096
Porites_evermani_scaffold_5723	83.2678	66.8257	44.8337	46.2131	143.552
Porites_evermani_scaffold_1936	9986.15	2676.94	17206.2	10491.1	12934.5
Porites_evermani_scaffold_2043	2027.82	477.99	978.14	624.686	1793.88
Porites_evermani_scaffold_4962	514	240	1189.45	438	765.045
Porites_evermani_scaffold_7355	30.0554	2.52058	1.00519	11.8196	86.635
Porites_evermani_scaffold_4732	91.3691	1.03208	104.594	23.5207	553.04
Porites_evermani_scaffold_1960	751.626	465.091	2359.07	528.931	1110.75
Porites_evermani_scaffold_2522	388.119	19.3799	1379.34	82.1864	773.533
Porites_evermani_scaffold_7156	2	0	19	7	8
Porites_evermani_scaffold_79	70990.9	27602.3	26562.4	40289.8	76491.5
Porites_evermani_scaffold_1051	3101.39	1273.84	3614.64	1730.52	4648.25
Porites_evermani_scaffold_565	9344.72	3679.68	7556.97	3690.07	11684.2
Porites_evermani_scaffold_627	2955.79	1990.72	3155.2	1985.94	2494.48
Porites_evermani_scaffold_2424	3294.49	1331.82	3244.82	1478.6	3280.03
Porites_evermani_scaffold_1133	15262.6	2109.36	15664	9643.04	17509.4
Porites_evermani_scaffold_5581	1427.33	2623.81	652.128	7.22087	15.2632
Porites_evermani_scaffold_6737	27.8666	16	92.9039	11	6
Porites_evermani_scaffold_228	13859.6	7841.4	19840.1	8344.35	16190.6
Porites_evermani_scaffold_1403	15.6487	50.9401	2.02963	30.424	25.9513
Porites_evermani_scaffold_1071	2991.53	1488	3354.84	1700.76	3642.28
Porites_evermani_scaffold_1980	346.083	245.558	384.651	665.192	441.902
Porites_evermani_scaffold_715	2739.54	2919.84	7450.65	1491.52	5023.77
Porites_evermani_scaffold_626	2066.32	2092.72	2323.73	1362.44	4408.62
Porites_evermani_scaffold_6629	0	0	0.00977613	0	0
Porites_evermani_scaffold_4108	320.374	160.188	699.182	115.594	263.263
Porites_evermani_scaffold_137	28172	9197.03	20874.6	16951.2	29588.9
Porites_evermani_scaffold_598	1274.08	843.002	2351.59	948.09	3713.73
Porites_evermani_scaffold_2257	3028.87	1126.07	3587.53	2183.36	6322.21
Porites_evermani_scaffold_712	14149.6	6704.61	16364.9	9352.58	15718.9
Porites_evermani_scaffold_7738	32	0	36	0	46
Porites_evermani_scaffold_462	6948.91	2448.75	3865.3	2888.3	5398.92
Porites_evermani_scaffold_1027	1310.3	984.607	2489.87	1028.27	2183.1
Porites_evermani_scaffold_3125	24.0298	128.125	39.5888	13.1966	42.8717
Porites_evermani_scaffold_3774	144	15.8181	167.78	55	192.076
Porites_evermani_scaffold_2046	847.136	435.96	2441.16	732.28	1032.52
Porites_evermani_scaffold_5226	8.00437	52.0805	10	4	12.3854
Porites_evermani_scaffold_3127	271.589	176.333	610.579	109.685	392.746
Porites_evermani_scaffold_7797	100.798	0	46	62.7965	127.717
Porites_evermani_scaffold_1750	9156.12	4447.22	3977.32	3810.79	9621.02
Porites_evermani_scaffold_4410	1593	292.555	5841	444	2071.58
Porites_evermani_scaffold_1145	875.289	336.221	1086.81	416.13	1644.39
Porites_evermani_scaffold_3037	163.446	71.095	51	27.6615	203.06
Porites_evermani_scaffold_6052	50.3684	11.0909	0	9.11601	15
Porites_evermani_scaffold_502	999.097	300.6	1913.68	518.642	1049.34
Porites_evermani_scaffold_7284	483	419.976	410	257	849
Porites_evermani_scaffold_6236	15	9.21296	31.1089	24.6162	14
Porites_evermani_scaffold_1824	95.2698	133.145	256.518	143.884	203.764
Porites_evermani_scaffold_1428	262.053	107.389	316.928	69.2656	78.031
Porites_evermani_scaffold_1584	302.845	192.268	889.441	1052.51	180.218
Porites_evermani_scaffold_1329	2161.48	232.851	262.185	186.507	511.98
Porites_evermani_scaffold_2284	272.495	108.122	464.348	162.577	208.628
Porites_evermani_scaffold_3009	42.0397	4.8399	81.7004	3.06157	1338.77
Porites_evermani_scaffold_517	6659.04	4110.13	10776.7	5264.33	11554.3
Porites_evermani_scaffold_1143	5605.41	2245.19	2177.17	2420.53	8534.58
Porites_evermani_scaffold_2122	332.629	5.13004	80.9263	83.9699	220.828
Porites_evermani_scaffold_1248	1301.82	1085.75	2831.62	1246.44	2022.42
Porites_evermani_scaffold_984	7582.38	5493.97	3542.21	3770.14	8051.42
Porites_evermani_scaffold_3234	12.3525	15.6474	17.0437	43.0052	206.148
Porites_evermani_scaffold_877	1485.28	662.114	2792.81	1107.02	2688.44
Porites_evermani_scaffold_472	8351.76	1078.19	2633.14	5965.8	32080.7
Porites_evermani_scaffold_2168	1560.69	145.633	62.2493	1039.91	993.989
Porites_evermani_scaffold_939	12888.4	5918.89	16249.8	8077.27	18941
Porites_evermani_scaffold_5713	6.00054	0	83	17.5952	104.221
Porites_evermani_scaffold_471	4138.72	2108.26	4578.83	2198.13	5166.07
Porites_evermani_scaffold_6627	15	0	50.3641	15.7696	8.41439
Porites_evermani_scaffold_4527	355.264	165.189	434.636	286.671	830.875
Porites_evermani_scaffold_3239	61.4694	67.0852	654.325	32.1011	116.144
Porites_evermani_scaffold_3487	2846.37	458	3683.64	1647.3	3186.3
Porites_evermani_scaffold_2609	166.769	40.2275	174.591	13.1316	213.156
Porites_evermani_scaffold_2079	17498.9	3466.44	4716.75	5072.28	19057.3
Porites_evermani_scaffold_3610	189.403	25.2113	9.01132	1.04016	102.948
Porites_evermani_scaffold_7003	91.6006	24.1324	213.993	115.631	111.717
Porites_evermani_scaffold_1069	37153.5	23016.2	46623	417.419	3156.99
Porites_evermani_scaffold_399	12823.8	7697.56	14213.7	7253.98	16355
Porites_evermani_scaffold_7014	1802.4	296.741	558.656	527.109	355.684
Porites_evermani_scaffold_371	24203.2	16493.6	9561.7	8878.26	33770
Porites_evermani_scaffold_1048	6431.92	3043.95	3668.32	1412.17	9764.97
Porites_evermani_scaffold_3067	106.123	41.229	204.366	56.4567	62.2496
Porites_evermani_scaffold_491	5504.19	2043.99	11009.1	2558.18	5136.87
Porites_evermani_scaffold_666	2354.48	1812.18	3633.78	1655.36	2812.92
Porites_evermani_scaffold_509	4474.64	2297.96	13004.4	2587.46	4858.84
Porites_evermani_scaffold_1177	8960.86	3288.27	7322.19	4990.15	11160.5
Porites_evermani_scaffold_2661	75.6131	2.08144	136.8	3.01871	19.4616
Porites_evermani_scaffold_1693	1529.94	295.714	1107.35	626.743	340.597
Porites_evermani_scaffold_1256	9258.24	3247.16	10192.9	4498.57	11395.7
Porites_evermani_scaffold_4327	123.07	8.39167	103.724	28.5187	26.0199
Porites_evermani_scaffold_2073	1575.49	853.273	1901.57	646.055	1645.62
Porites_evermani_scaffold_7381	366.203	5507.71	49	184.97	9901.55
Porites_evermani_scaffold_2345	63.4221	15.5128	68.2134	23.6529	70.9396
Porites_evermani_scaffold_7151	79	8	32.028	26.0497	46.0362
Porites_evermani_scaffold_1746	845.816	33.6414	139.212	40.9256	990.291
Porites_evermani_scaffold_1852	9331.53	3310.61	4882.27	4833.6	9789.63
Porites_evermani_scaffold_4943	366.064	143.477	340.906	119.674	479.633
Porites_evermani_scaffold_4119	24.0788	21	44.4796	85.2297	22.1383
Porites_evermani_scaffold_7088	134	48	0	20	86
Porites_evermani_scaffold_1398	1183.83	63.2175	588.891	11.0868	1130.4
Porites_evermani_scaffold_83	2427.95	1109.32	5186.45	1393.4	2862.87
Porites_evermani_scaffold_4007	7454.1	2548.37	483.387	6482.28	35.4851
Porites_evermani_scaffold_3150	361.547	54.418	466.132	195.214	535.476
Porites_evermani_scaffold_463	19798.1	5588.76	17536.4	10350.1	30950.7
Porites_evermani_scaffold_487	41593.2	22959.8	26410.6	25985.6	47093.5
Porites_evermani_scaffold_716	3526.28	1466.61	4827.39	1622.79	2253.23
Porites_evermani_scaffold_3529	2293.2	808	1308.41	941.832	2384
Porites_evermani_scaffold_3553	651.458	429.01	277.571	695.06	492.428
Porites_evermani_scaffold_693	3948.59	1008.22	7286.53	3994.81	5450.4
Porites_evermani_scaffold_7137	23.0162	1.12057	23	2	8
Porites_evermani_scaffold_1550	4777.13	1169.32	5218.85	2462.44	4481
Porites_evermani_scaffold_1762	3341.8	1450.28	2669.33	1527.88	4545.27
Porites_evermani_scaffold_521	1392.45	1433.23	378.475	372.145	4600.84
Porites_evermani_scaffold_6292	1	0	1	15	194
Porites_evermani_scaffold_2592	47.5127	39.3891	97.1082	21.158	89.066
Porites_evermani_scaffold_4241	65.1839	6.00157	132.009	76.7299	78.9496
Porites_evermani_scaffold_2683	242.935	2526.7	470.318	306.831	430.031
Porites_evermani_scaffold_8025	57.0568	53.6087	145.738	62.3481	85.3798
Porites_evermani_scaffold_4387	139.292	13.0357	608.127	41.0324	133.66
Porites_evermani_scaffold_1017	11276.6	4023.19	2609.02	4533.71	18970.2
Porites_evermani_scaffold_597	1103.03	794.017	2854.99	821.734	1464.01
Porites_evermani_scaffold_4891	17.7004	14.0778	24.1627	10.1485	8.09298
Porites_evermani_scaffold_3138	309.373	110.4	1833.34	169.143	576.473
Porites_evermani_scaffold_321	900.497	275.698	1678.93	628.24	660.916
Porites_evermani_scaffold_1534	1489.17	314.645	1036.61	762.306	2223.8
Porites_evermani_scaffold_2420	186.073	155.132	320.054	135.375	281.164
Porites_evermani_scaffold_6611	60.711	5.56124	147.627	59.0369	1.49431
Porites_evermani_scaffold_4911	85.7664	18.3175	2.95162	3.99478	1.11147
Porites_evermani_scaffold_2618	214.297	71.0274	152.874	128.886	156.759
Porites_evermani_scaffold_2069	2812.59	645.712	1315.13	1008.5	3948.28
Porites_evermani_scaffold_2309	7.13502	9.0105	6.11112	3.09118	20.9705
Porites_evermani_scaffold_5954	298.191	110.829	236.603	155	890
Porites_evermani_scaffold_96	6306.25	2818.4	8645.96	3341.6	8845.91
Porites_evermani_scaffold_3229	21.3599	32.178	26.0898	16.6631	52.2634
Porites_evermani_scaffold_8108	21.7554	2.4822	57.4322	2.80464	43.9743
Porites_evermani_scaffold_676	2877.61	838.701	3051.14	1962.67	2747.21
Porites_evermani_scaffold_6690	20.5601	3	0	0	0
Porites_evermani_scaffold_2833	2409.02	449.219	2220.03	704.011	3242.82
Porites_evermani_scaffold_485	2422.97	1768.05	3536.6	1338.54	4838.68
Porites_evermani_scaffold_2261	96.3998	54.9211	148.614	94.1908	118.363
Porites_evermani_scaffold_2434	480.42	324.075	689.468	236.924	635.871
Porites_evermani_scaffold_7040	0	0	16	4	1.00079
Porites_evermani_scaffold_5043	299.108	112.381	628.415	213.25	183.157
Porites_evermani_scaffold_765	9928.27	3894.54	6930.67	5130.05	16717.6
Porites_evermani_scaffold_421	46395.6	31572	29604.3	19617.5	47326.7
Porites_evermani_scaffold_4074	111.036	0	19	3	1
Porites_evermani_scaffold_3665	227.889	118.504	478.144	284.719	322.313
Porites_evermani_scaffold_304	5474.73	2709.58	10149.1	2778.47	7362.43
Porites_evermani_scaffold_5393	1372.97	568.742	660.602	390.273	904.461
Porites_evermani_scaffold_814	7162.38	3295.27	5960.22	3386.62	9476.58
Porites_evermani_scaffold_438	191.849	111.122	460.306	186.626	321.736
Porites_evermani_scaffold_764	1524.32	881.945	4551.1	1037.21	2633.25
Porites_evermani_scaffold_946	21524.6	4104.1	5003.37	8280.72	20867.7
Porites_evermani_scaffold_1664	3330.77	1836.92	5687.4	2675.23	5709.45
Porites_evermani_scaffold_1581	10856.8	3979	5747.01	6213.32	12348
Porites_evermani_scaffold_7788	2196.65	444.414	6.56108	1181.1	5.19559
Porites_evermani_scaffold_116	3045.18	1114.94	3278.38	1931.16	2806.96
Porites_evermani_scaffold_6030	3	0	27	25	182
Porites_evermani_scaffold_507	5088.01	2200.98	5708.72	3290.27	6205.07
Porites_evermani_scaffold_898	21907.2	8682.21	12055.4	11951.1	20427.6
Porites_evermani_scaffold_758	2614.13	654.05	1701.01	863.572	1942.37
Porites_evermani_scaffold_28	9124.15	3561.11	10994.1	4473.6	11423.6
Porites_evermani_scaffold_5165	88.9454	14.1158	49.3161	0	104
Porites_evermani_scaffold_999	311.507	150.314	118.565	56.2971	69.6225
Porites_evermani_scaffold_6311	0	28.5491	1.00439	0	1.0375
Porites_evermani_scaffold_2359	5468.69	2738.87	9513.64	4646.48	4997.46
Porites_evermani_scaffold_3348	12775.9	4517.75	1213.21	4724.99	16436.7
Porites_evermani_scaffold_1597	2104.13	1541.38	2077.93	2343.54	3554.73
Porites_evermani_scaffold_3052	27.0023	30	92.2677	36.2307	45.7528
Porites_evermani_scaffold_5645	0	0	0	11	71.1021
Porites_evermani_scaffold_3870	782.975	160.999	406.288	498.506	989.844
Porites_evermani_scaffold_633	574.18	485.06	3615.37	1012.36	2601.83
Porites_evermani_scaffold_4204	50.374	37.3214	167.447	70.4732	144.623
Porites_evermani_scaffold_393	3694.39	2017.39	6512.2	2739.11	5133.76
Porites_evermani_scaffold_1047	363.663	411.916	2734.31	141.337	814.545
Porites_evermani_scaffold_5026	551.769	280.494	452.977	253.412	921.104
Porites_evermani_scaffold_2120	117.613	81.7469	256.277	95.871	336.887
Porites_evermani_scaffold_6451	2	1	41	0	0
Porites_evermani_scaffold_467	84235.4	35225.1	19742.5	32655.5	132734
Porites_evermani_scaffold_3427	114.755	59.2786	219.726	105.458	21.0947
Porites_evermani_scaffold_5212	36	11	163	6	93
Porites_evermani_scaffold_3420	165.632	46.0106	553.608	84.2754	192.432
Porites_evermani_scaffold_1346	993.318	491.014	2396.91	428.351	1102.78
Porites_evermani_scaffold_174	30878.9	13702.7	34181.8	16792.7	37032.1
Porites_evermani_scaffold_2417	349.276	87.2317	1005.65	154.995	318.638
Porites_evermani_scaffold_2821	145.003	10.9956	34.4519	221.65	2.06492
Porites_evermani_scaffold_1446	971.093	695.753	3258	838.312	1181.04
Porites_evermani_scaffold_2859	436.091	168.92	966.643	250.553	333.675
Porites_evermani_scaffold_372	22758.6	9082.46	25153.7	12747.8	23927.2
Porites_evermani_scaffold_4930	95.117	97.8762	68	77	34.701
Porites_evermani_scaffold_2896	0	0	96.2189	29.9053	123.782
Porites_evermani_scaffold_1057	5527.63	1020.14	9505.64	3378.23	5344.98
Porites_evermani_scaffold_2161	1187.04	462.396	1639.97	815.159	1997.33
Porites_evermani_scaffold_6329	292.924	29.5077	54.9713	138.162	475.5
Porites_evermani_scaffold_2945	1809.5	634.425	2073.65	703.258	2424.43
Porites_evermani_scaffold_7295	15	37	1	2	0
Porites_evermani_scaffold_237	11113.8	4571.38	11349.9	7131.3	12682.4
Porites_evermani_scaffold_75	30099.5	15635.9	18252.4	22354.3	48996.9
Porites_evermani_scaffold_2624	8.23145	37.7543	182.099	8.41029	12.2612
Porites_evermani_scaffold_191	10717.5	25246.7	10161.8	5724.21	17791.2
Porites_evermani_scaffold_2385	378.593	82.5668	1528.16	233.35	398.554
Porites_evermani_scaffold_6100	12.002	70.6542	0	10.0357	16
Porites_evermani_scaffold_4669	451	298.365	905	357	541.985
Porites_evermani_scaffold_1255	1500.49	5273.49	5142.15	1433.92	1713.63
Porites_evermani_scaffold_2099	1324.02	805.037	1959.29	913.629	1815.03
Porites_evermani_scaffold_1921	497.453	23.0956	187.801	68.1734	6.14459
Porites_evermani_scaffold_1892	1833.79	1086.43	1526.17	498.014	510.55
Porites_evermani_scaffold_511	4910.6	1781.09	6468.86	3292.64	8608.07
Porites_evermani_scaffold_1323	102.751	62.2132	199.528	127.513	364.795
Porites_evermani_scaffold_293	65835.3	17366	75548.6	36697.4	85200.2
Porites_evermani_scaffold_2968	1328.02	63.1904	1531.78	919.74	1161.75
Porites_evermani_scaffold_6139	177.687	69.0514	228.744	182.857	324.676
Porites_evermani_scaffold_3661	382.399	8.21622	380.813	35.2677	79.8243
Porites_evermani_scaffold_3057	42.8524	6.09035	54.965	8.08078	1.01417
Porites_evermani_scaffold_1095	2931.6	1672.1	4136.73	1872.75	4142.45
Porites_evermani_scaffold_296	3325.76	1757.52	3433.13	858.439	5451
Porites_evermani_scaffold_2850	5326.22	1741.87	14604.7	3447.44	7858.71
Porites_evermani_scaffold_2273	717.271	165.935	784.662	145.528	446.832
Porites_evermani_scaffold_477	1707.35	926.352	3080.53	947.09	1812.46
Porites_evermani_scaffold_378	8085.42	6152.85	9424.76	4867.95	9617.63
Porites_evermani_scaffold_1952	201.987	38.8445	308.444	31.0424	150.867
Porites_evermani_scaffold_2241	61.9143	2.55252	52.1763	101.06	36.3071
Porites_evermani_scaffold_5571	205.922	95	271.103	328.845	558.571
Porites_evermani_scaffold_4860	391.724	181.854	565.919	116.594	629.47
Porites_evermani_scaffold_546	42.81	57.1534	653.085	18.2419	46.4782
Porites_evermani_scaffold_833	4837.87	2155.23	1108.56	2691.41	7052.22
Porites_evermani_scaffold_3853	16.8171	5.12363	27.9736	306.782	1.0016
Porites_evermani_scaffold_2059	31.8869	43.9924	35.7931	114.504	45.785
Porites_evermani_scaffold_613	4909.43	2589.84	6364.88	3016.29	7738.38
Porites_evermani_scaffold_893	2033.56	674.015	1063.77	903.36	3209.35
Porites_evermani_scaffold_5823	82.7051	12.5744	48.7634	78.8832	16.4875
Porites_evermani_scaffold_6532	30.7568	0	36	38	6
Porites_evermani_scaffold_941	14495.5	9613.38	17732.2	8295.39	21510.5
Porites_evermani_scaffold_78	9846.45	4879.6	13784.3	6239.68	13142
Porites_evermani_scaffold_6377	0	0	0	1.01131	0
Porites_evermani_scaffold_7828	109.836	64.3081	173.992	45.2687	170.552
Porites_evermani_scaffold_3871	345.601	349.032	567.673	158.689	675.705
Porites_evermani_scaffold_544	3974.46	1473.56	1470.95	2700.54	4388.63
Porites_evermani_scaffold_6921	112.449	29.7893	198.333	100.058	178.961
Porites_evermani_scaffold_6285	105.977	2.24377	484.396	518.715	7.14357
Porites_evermani_scaffold_2281	954.842	14.059	318.303	423.528	1161.96
Porites_evermani_scaffold_2403	29413.2	9748	10356	9808.46	24589.9
Porites_evermani_scaffold_1544	2911.47	1165.34	3632.23	1264.08	3298.1
Porites_evermani_scaffold_3476	318.724	37.8931	32.8568	6.7553	324.451
Porites_evermani_scaffold_729	752.055	1230.89	1089.92	362.334	2150.31
Porites_evermani_scaffold_7291	10	8	2.17356	6	5.0229
Porites_evermani_scaffold_7519	0	2	37	4	3.29501
Porites_evermani_scaffold_6620	3	1	23	0	7
Porites_evermani_scaffold_1229	6.07042	11.0698	80.038	10.2761	26.2255
Porites_evermani_scaffold_4969	22	1.00003	40.0057	2.00005	20.0002
Porites_evermani_scaffold_2209	152.522	69.9236	376.332	169.647	141.541
Porites_evermani_scaffold_1393	6109.14	2701.31	9170.65	5228.52	8014.54
Porites_evermani_scaffold_4397	51.3879	18.3222	174.877	24.1617	37.8971
Porites_evermani_scaffold_3576	4290.3	3442.27	5662.29	3831.16	7353.11
Porites_evermani_scaffold_2435	864.296	149.423	802.389	203.372	1012.86
Porites_evermani_scaffold_809	1395.02	674.052	2052.54	591.798	1803.67
Porites_evermani_scaffold_6652	1	15	0	44	25.0103
Porites_evermani_scaffold_2992	47.2591	11.7082	24.9313	19.1008	20.401
Porites_evermani_scaffold_2140	2455.11	1403.39	4388.56	2303.1	3325.13
Porites_evermani_scaffold_796	214.534	117.526	438.832	193.959	342.691
Porites_evermani_scaffold_2632	17.2066	1.00016	36.5087	11.1537	1.07215
Porites_evermani_scaffold_1865	108.642	20.9339	5.03816	90.8964	241.97
Porites_evermani_scaffold_1523	6697.78	2844.11	3432.43	2292.47	10382.9
Porites_evermani_scaffold_1337	171.063	95.8576	177.399	60.0913	247.063
Porites_evermani_scaffold_275	3993.34	2070.61	4595.25	2469.79	5626.03
Porites_evermani_scaffold_1435	27.7329	27.3667	41.3499	56.0177	267.28
Porites_evermani_scaffold_4615	31.0344	18.233	82.0006	4.03065	29.1719
Porites_evermani_scaffold_38	20075.9	8121.04	14355.2	11035.3	24410.1
